"","Station","Time(Ent)","Forecast(Ent)","Validation(Ent)","Actual(Ent)","Time(Ext)","Forecast(Ext)","Validation(Ext)","Actual(Ext)","Time(Trf)","Forecast(Trf)","Validation(Trf)","Actual(Trf)"
"160","8 AV","2017-08-05 13:00:00",1465.08715832337,1505.36004562839,1485.25,"2017-08-05 13:00:00",1601.08288845947,1667.6844119739,1711.25,"2017-08-05 13:00:00",49.5198250321136,49.9969612659812,53.275
"161","8 AV","2017-08-05 17:00:00",2341.64111360018,2088.79349103632,2180.5,"2017-08-05 17:00:00",1648.70926166479,1521.72071209063,1558.25,"2017-08-05 17:00:00",65.5283761894451,57.6058152187156,62.3125
"162","8 AV","2017-08-05 21:00:00",2624.07518051133,2563.08953846086,2913.5,"2017-08-05 21:00:00",1947.90836513322,1734.70489169691,2120.25,"2017-08-05 21:00:00",74.9625222190934,70.595609193489,83.8958333333333
"163","8 AV","2017-08-06 01:00:00",1204.51515827124,1205.30976378172,1313.75,"2017-08-06 01:00:00",804.792514529816,877.489054280547,759.75,"2017-08-06 01:00:00",33.6789890042055,32.6557372885621,34.5583333333333
"164","8 AV","2017-08-06 05:00:00",439.929818796693,446.131529896997,222.5,"2017-08-06 05:00:00",138.728423008489,289.762774751614,105,"2017-08-06 05:00:00",9.44007211038324,10.0169936016923,5.45833333333333
"165","8 AV","2017-08-06 09:00:00",868.892617782888,1097.43808373478,898.25,"2017-08-06 09:00:00",850.751526638385,991.807917726305,843.75,"2017-08-06 09:00:00",28.8389657229574,35.1417745128751,29.0333333333333
"166","8 AV","2017-08-06 13:00:00",1429.55097905594,1504.64596219172,1415.25,"2017-08-06 13:00:00",1495.97801739441,1605.19427201343,1623.75,"2017-08-06 13:00:00",46.2836261915921,49.5577871662312,50.65
"167","8 AV","2017-08-06 17:00:00",2243.01109241068,2043.10247666662,2443.75,"2017-08-06 17:00:00",1552.13037347321,1486.66850359338,1652,"2017-08-06 17:00:00",60.7772335432775,57.0146168791032,68.2625
"168","8 AV","2017-08-06 21:00:00",2502.44385456295,2480.3367825849,2702.75,"2017-08-06 21:00:00",1854.06737804069,1707.81633048673,2026.25,"2017-08-06 21:00:00",69.2882055160796,68.8514221946783,78.8166666666667
"169","7 AV","2017-08-05 01:00:00",1156.52240282111,1398.75954028431,988.75,"2017-08-05 01:00:00",690.212014864882,914.547485137865,650.75,"2017-08-05 01:00:00",17.4098556005312,21.7382218878292,15.7644230769231
"170","7 AV","2017-08-05 05:00:00",367.967642082785,442.791956273827,69.5,"2017-08-05 05:00:00",297.347960061162,340.938507395612,81.75,"2017-08-05 05:00:00",6.09607720251638,7.32204112961513,1.45432692307692
"171","7 AV","2017-08-05 09:00:00",1375.37419238082,1921.32995792212,1820.25,"2017-08-05 09:00:00",1838.4113429274,2190.15649536663,2072.25,"2017-08-05 09:00:00",31.5493707980216,36.1010221870577,37.4278846153846
"172","7 AV","2017-08-05 13:00:00",1853.4644208093,1990.62433959068,1940.25,"2017-08-05 13:00:00",1869.57394770641,1984.26582720259,2121.75,"2017-08-05 13:00:00",34.9972207458897,37.0204865999559,39.0576923076923
