,Station,Time,Forecast(Entry/h),",Forecast(Exit/h)",Forecast(Traffic/h_turnstl)
103,JKSN HT-ROOSVLT,8/8/2017 0:00,1348.167025,1722.72381,36.30100148
104,JKSN HT-ROOSVLT,8/8/2017 4:00,686.4717605,1095.031979,18.34130031
105,JKSN HT-ROOSVLT,8/8/2017 8:00,1986.370543,821.7977936,34.00101554
106,JKSN HT-ROOSVLT,8/8/2017 12:00,2737.924554,1137.740122,47.07004947
107,JKSN HT-ROOSVLT,8/8/2017 16:00,2063.313164,1720.46228,46.03518181
108,JKSN HT-ROOSVLT,8/8/2017 20:00,2115.967945,2698.813597,58.19596492
109,JKSN HT-ROOSVLT,8/9/2017 0:00,1431.309938,1692.826693,36.3250476
110,JKSN HT-ROOSVLT,8/9/2017 4:00,844.7026477,1130.234053,19.65875675
111,JKSN HT-ROOSVLT,8/9/2017 8:00,2010.30712,885.3375372,34.19112583
112,JKSN HT-ROOSVLT,8/9/2017 12:00,2691.174316,1168.512847,46.26954619
113,JKSN HT-ROOSVLT,8/9/2017 16:00,2070.317249,1690.799711,45.32923848
114,JKSN HT-ROOSVLT,8/9/2017 20:00,2120.85691,2567.684233,56.57204798
115,JKSN HT-ROOSVLT,8/10/2017 0:00,1520.362697,1666.084967,36.33202215
116,JKSN HT-ROOSVLT,8/10/2017 4:00,995.9705803,1161.839948,20.88815333
117,JKSN HT-ROOSVLT,8/10/2017 8:00,2028.385886,942.3421461,34.35402432
118,JKSN HT-ROOSVLT,8/10/2017 12:00,2626.083511,1196.148772,45.5306084
119,JKSN HT-ROOSVLT,8/10/2017 16:00,2088.519062,1664.268208,44.66718038
120,JKSN HT-ROOSVLT,8/10/2017 20:00,2130.832475,2450.209261,55.07256059
121,JKSN HT-ROOSVLT,8/11/2017 0:00,1596.541888,1642.171381,36.33302647
122,JKSN HT-ROOSVLT,8/11/2017 4:00,1131.077576,1190.222633,22.02741962
123,JKSN HT-ROOSVLT,8/11/2017 8:00,2054.83951,993.4893925,34.50076767
124,JKSN HT-ROOSVLT,8/11/2017 12:00,2593.668499,1220.973219,44.84724845
125,JKSN HT-ROOSVLT,8/11/2017 16:00,2103.47062,1640.543041,44.05024918
126,JKSN HT-ROOSVLT,8/11/2017 20:00,2143.209913,2344.972558,53.68341042
127,GRD CNTRL-42 ST,8/5/2017 0:00,2572.061265,1474.606846,26.70945184
128,GRD CNTRL-42 ST,8/5/2017 4:00,679.84824,378.4358187,7.530438426
129,GRD CNTRL-42 ST,8/5/2017 8:00,1374.621855,1953.202248,23.45819576
130,GRD CNTRL-42 ST,8/5/2017 12:00,3750.919555,5090.214812,68.58446292
131,GRD CNTRL-42 ST,8/5/2017 16:00,3830.379069,3276.902656,53.41379352
132,GRD CNTRL-42 ST,8/5/2017 20:00,6237.32608,3939.676022,77.67484177
133,GRD CNTRL-42 ST,8/6/2017 0:00,3209.599113,1818.170782,37.8686529
134,GRD CNTRL-42 ST,8/6/2017 4:00,1514.722316,887.2873029,18.72329224
135,GRD CNTRL-42 ST,8/6/2017 8:00,2157.983075,2171.06162,32.07660559
136,GRD CNTRL-42 ST,8/6/2017 12:00,4231.564392,4654.2077,76.23299369
137,GRD CNTRL-42 ST,8/6/2017 16:00,4309.898643,3172.695201,60.83829012
138,GRD CNTRL-42 ST,8/6/2017 20:00,6431.315888,3857.356178,82.36768491
139,GRD CNTRL-42 ST,8/7/2017 0:00,3069.399194,1867.936583,38.17745936
140,GRD CNTRL-42 ST,8/7/2017 4:00,1582.605185,1086.944089,18.51448695
141,GRD CNTRL-42 ST,8/7/2017 8:00,2145.516603,2200.520538,31.24080524
142,GRD CNTRL-42 ST,8/7/2017 12:00,3972.700324,4427.217319,73.25402408
143,GRD CNTRL-42 ST,8/7/2017 16:00,4041.994224,3132.045584,56.93531803
144,GRD CNTRL-42 ST,8/7/2017 20:00,5908.983707,3602.915762,77.92125786
145,GRD CNTRL-42 ST,8/8/2017 0:00,2936.483804,1905.239819,37.79885194
146,GRD CNTRL-42 ST,8/8/2017 4:00,1626.636342,1244.070994,17.95535912
147,GRD CNTRL-42 ST,8/8/2017 8:00,2122.522746,2158.877929,31.1152026
148,GRD CNTRL-42 ST,8/8/2017 12:00,3731.534195,3926.35605,69.6602938
149,GRD CNTRL-42 ST,8/8/2017 16:00,3792.359347,2871.539371,53.42018685
150,GRD CNTRL-42 ST,8/8/2017 20:00,5436.533889,3359.181221,74.21566304
151,GRD CNTRL-42 ST,8/9/2017 0:00,2805.835581,1932.31608,36.61046379
152,GRD CNTRL-42 ST,8/9/2017 4:00,1652.47522,1376.218556,17.67144571
153,GRD CNTRL-42 ST,8/9/2017 8:00,2089.147477,2169.209632,31.13742328
154,GRD CNTRL-42 ST,8/9/2017 12:00,3505.939658,3755.160756,65.62743866
155,GRD CNTRL-42 ST,8/9/2017 16:00,3559.532855,2832.903847,50.52295118
156,GRD CNTRL-42 ST,8/9/2017 20:00,5007.303976,3167.727301,70.70939279
157,GRD CNTRL-42 ST,8/10/2017 0:00,2677.69933,1948.6721,34.94293357
158,GRD CNTRL-42 ST,8/10/2017 4:00,1662.101944,1477.918005,17.79880197
159,GRD CNTRL-42 ST,8/10/2017 8:00,2046.610505,2129.118093,30.8627447
160,GRD CNTRL-42 ST,8/10/2017 12:00,3294.184024,3387.041684,61.52682588
161,GRD CNTRL-42 ST,8/10/2017 16:00,3341.372439,2636.202134,48.21582135
162,GRD CNTRL-42 ST,8/10/2017 20:00,4616.2197,2983.764456,67.06478262
163,GRD CNTRL-42 ST,8/11/2017 0:00,2551.740138,1957.626363,33.19844914
164,GRD CNTRL-42 ST,8/11/2017 4:00,1657.446611,1561.710806,18.1746086
165,GRD CNTRL-42 ST,8/11/2017 8:00,1996.029741,2126.383463,30.13148089
166,GRD CNTRL-42 ST,8/11/2017 12:00,3094.589834,3255.922757,57.70043897
167,GRD CNTRL-42 ST,8/11/2017 16:00,3136.142123,2599.170395,46.22772116
168,GRD CNTRL-42 ST,8/11/2017 20:00,4258.71907,2837.236846,63.238854
169,96 ST,8/5/2017 1:00,1021.038899,1023.886611,17.21876711
170,96 ST,8/5/2017 5:00,348.5919651,216.6025636,4.77027462
171,96 ST,8/5/2017 9:00,2346.558162,1283.214192,32.08486859
172,96 ST,8/5/2017 13:00,2708.899872,1592.957572,37.33914857
173,96 ST,8/5/2017 17:00,3028.281273,2004.867034,42.94335661
174,96 ST,8/5/2017 21:00,2843.671095,2416.65386,45.28112334
175,96 ST,8/6/2017 1:00,1142.22261,1217.618198,20.8279129
176,96 ST,8/6/2017 5:00,568.1669051,472.7033508,9.741949377
177,96 ST,8/6/2017 9:00,2346.97084,1475.147743,34.43726909
178,96 ST,8/6/2017 13:00,2696.813037,1754.742353,39.26382581
179,96 ST,8/6/2017 17:00,2967.449781,2142.910044,44.42476956
180,96 ST,8/6/2017 21:00,2815.221789,2496.789643,46.33397735
181,96 ST,8/7/2017 1:00,1210.122195,1211.476796,21.37972399
182,96 ST,8/7/2017 5:00,701.1117034,528.766391,11.40215588
183,96 ST,8/7/2017 9:00,2300.944084,1448.850878,33.72538543
184,96 ST,8/7/2017 13:00,2623.83551,1711.354617,38.14630865
185,96 ST,8/7/2017 17:00,2863.013675,2067.022384,42.77190194
186,96 ST,8/7/2017 21:00,2729.916555,2400.802896,44.56860275
187,96 ST,8/8/2017 1:00,1274.54359,1208.368116,21.87880066
188,96 ST,8/8/2017 5:00,817.2546987,578.1152155,12.84519205
189,96 ST,8/8/2017 9:00,2261.210403,1428.267313,33.07054607
190,96 ST,8/8/2017 13:00,2554.940697,1670.361639,37.08033867
191,96 ST,8/8/2017 17:00,2769.695811,1999.040974,41.2726457
192,96 ST,8/8/2017 21:00,2650.522255,2306.144919,42.89657136
193,96 ST,8/9/2017 1:00,1333.071299,1203.56507,22.2940904
194,96 ST,8/9/2017 5:00,920.5677416,621.8994949,14.11014291
195,96 ST,8/9/2017 9:00,2225.108962,1406.567782,32.43658333
196,96 ST,8/9/2017 13:00,2491.248596,1630.252734,36.07186044
197,96 ST,8/9/2017 17:00,2684.84624,1933.590598,39.86935535
198,96 ST,8/9/2017 21:00,2577.586087,2217.402114,41.34288417
199,96 ST,8/10/2017 1:00,1385.49496,1197.061836,22.62989441
200,96 ST,8/10/2017 5:00,1012.823955,660.0525403,15.21386655
201,96 ST,8/10/2017 9:00,2191.954154,1384.510154,31.82123284
202,96 ST,8/10/2017 13:00,2432.659778,1591.0128,35.11571383
203,96 ST,8/10/2017 17:00,2607.595611,1871.076099,38.55699129
204,96 ST,8/10/2017 21:00,2510.667855,2133.057478,39.89224911
205,96 ST,8/11/2017 1:00,1432.152598,1188.808294,22.89257139
206,96 ST,8/11/2017 5:00,1095.357442,693.0330932,16.17219103
207,96 ST,8/11/2017 9:00,2161.161054,1361.865715,31.22185497
208,96 ST,8/11/2017 13:00,2378.833429,1552.522364,34.20739545
209,96 ST,8/11/2017 17:00,2536.885015,1811.080966,37.32585725
210,96 ST,8/11/2017 21:00,2449.354651,2052.96158,38.5359362
211,34 ST-PENN STA,8/5/2017 2:00,586.7693397,560.2812821,18.98784531
212,34 ST-PENN STA,8/5/2017 6:00,258.4072417,264.7899719,9.715430228
